mishima_dir,mishima_speed,aziro_dir,aziro_speed,tannna_dir,tanna_speed,judge
270,40,270,50,190,66,SWest
270,40,270,50,208,64,SWest
270,40,270,50,176,66,SWest
270,50,270,40,210,68,SWest
270,50,270,40,200,60,SWest
270,50,270,50,188,56,SWest
270,50,270,60,174,42,SWest
270,50,248,60,198,54,SWest
270,60,248,50,206,64,SWest
270,60,248,50,192,68,SWest
270,50,248,50,196,76,SWest
270,50,248,50,182,76,SWest
270,50,270,40,194,64,SWest
270,50,248,50,204,68,SWest
270,60,248,40,182,54,SWest
270,50,248,50,188,62,SWest
270,50,248,50,174,72,SWest
270,50,248,70,174,82,SWest
270,50,248,70,190,68,SWest
270,50,248,60,196,78,SWest
270,50,248,50,206,62,SWest
270,40,248,50,202,84,SWest
270,40,248,50,202,84,SWest
270,50,248,40,208,80,SWest
270,50,248,30,186,90,SWest
270,50,248,30,214,82,SWest
270,50,248,20,188,94,SWest
270,40,248,10,208,66,SWest
270,40,360,10,196,62,SWest
270,40,270,10,204,54,SWest
293,50,360,10,198,56,NotWest
270,50,225,10,190,84,SWest
248,40,248,20,192,82,SWest
248,40,225,20,192,80,SWest
270,30,225,20,180,70,SWest
293,50,248,20,210,70,SWest
270,60,248,30,188,56,SWest
270,50,203,20,198,68,SWest
270,50,203,20,212,78,SWest
248,40,203,10,202,76,SWest
248,30,225,20,202,66,SWest
270,30,270,10,208,82,SWest
293,30,225,10,216,74,SWest
248,40,248,10,208,74,SWest
248,40,248,20,210,68,SWest
248,30,225,20,206,70,SWest
270,30,225,20,212,76,SWest
315,20,225,20,220,76,SWest
315,30,248,20,224,70,SWest
315,30,248,20,204,54,SWest
315,30,248,20,202,44,SWest
293,30,248,20,212,48,SWest
315,30,248,20,220,50,SWest
315,20,225,10,210,48,SWest
315,20,203,20,222,48,SWest
315,30,45,10,214,42,SWest
315,20,360,10,202,38,SWest
315,20,360,10,214,46,SWest
315,20,203,10,188,44,SWest
315,10,203,10,192,46,SWest
315,20,248,10,212,46,West
315,20,225,10,188,46,NotWest
293,20,203,10,190,46,West
315,20,203,10,180,40,West
293,20,203,10,214,46,West
293,10,180,10,202,56,West
293,10,225,10,214,48,West
293,20,293,10,218,50,West
270,30,293,10,190,42,West
248,20,248,10,208,48,West
248,10,248,20,206,52,SWest
248,20,248,40,174,46,SWest
248,20,248,40,202,44,West
270,10,248,30,214,50,West
270,20,248,30,180,48,West
293,10,248,50,194,46,West
293,20,248,50,206,40,West
270,20,248,60,196,42,West
293,20,248,60,210,16,NotWest
270,30,248,60,230,38,NotWest
270,30,248,50,196,32,NotWest
248,30,270,40,210,26,NotWest
248,20,293,20,168,34,NotWest
248,10,270,30,170,34,NotWest
248,30,225,30,170,30,NotWest
248,30,225,20,186,28,NotWest
248,30,203,20,194,30,NotWest
248,30,203,20,202,30,SWest
248,20,203,20,218,38,NotWest
248,20,225,20,216,40,NotWest
248,20,248,10,200,26,NotWest
248,30,225,20,172,28,NotWest
248,30,248,20,220,24,West
248,20,203,20,178,12,NotWest
248,20,203,20,194,22,NotWest
225,20,225,20,202,6,NotWest
225,20,203,20,226,18,NotWest
248,20,180,10,64,18,NotWest
225,20,203,10,242,10,NotWest
225,20,180,20,242,18,West
225,20,158,20,226,22,NotWest
225,20,113,20,226,20,West
225,20,113,20,238,28,West
225,10,23,10,126,22,NotWest
248,10,225,10,248,36,West
270,20,225,10,222,38,NotWest
248,20,225,10,252,20,West
203,10,203,10,62,28,NotWest
158,10,203,10,132,22,West
203,10,248,10,242,20,West
0,0,225,10,182,14,West
0,0,203,10,244,24,West
0,0,225,10,126,26,West
248,10,203,10,236,18,West
248,20,203,10,12,26,West
248,30,225,10,10,24,West
203,20,180,10,248,16,West
225,20,203,10,208,0,West
225,10,203,10,130,6,SWest
0,0,203,10,208,6,SWest
68,10,203,10,162,4,SWest
90,20,203,20,224,12,SWest
90,30,180,20,190,14,NotWest
90,20,225,10,148,2,SWest
113,20,248,10,222,4,SWest
113,10,248,10,252,6,SWest
135,10,203,10,200,12,SWest
113,10,225,10,188,4,SWest
90,10,203,10,222,6,SWest
68,10,203,20,208,12,SWest
0,0,203,10,194,18,SWest
0,0,225,10,190,22,SWest
68,10,225,20,168,22,SWest
90,10,225,20,162,26,SWest
68,10,225,20,160,28,SWest
68,10,225,20,162,24,SWest
90,10,248,20,160,22,West
68,10,248,20,160,22,West
90,10,225,10,162,22,West
135,10,135,10,176,18,West
315,10,23,10,174,12,NotWest
293,10,23,10,176,12,NotWest
338,10,135,10,210,8,NotWest
270,10,68,20,180,10,NotWest
248,10,45,10,172,4,NotWest
248,20,90,10,144,12,NotWest
248,10,45,20,214,4,NotWest
270,10,338,10,220,6,NotWest
270,10,45,20,154,8,NotWest
248,10,360,30,162,16,NotWest
270,10,158,10,156,12,NotWest
270,20,135,10,146,0,NotWest
270,10,68,20,146,0,NotWest
293,10,68,30,146,0,NotWest
293,10,360,20,210,0,NotWest
315,10,90,20,210,2,NotWest
315,10,90,10,210,0,NotWest
270,10,23,10,210,0,NotWest
270,10,68,20,44,12,NotWest
270,10,45,20,52,20,NotWest
315,20,360,20,52,14,NotWest
315,10,113,20,64,16,NotWest
315,20,45,10,82,14,NotWest
315,20,45,10,82,0,NotWest
338,10,68,10,82,12,NotWest
315,10,45,10,94,26,NotWest
360,10,360,20,94,22,NotWest
338,10,113,10,94,18,NotWest
45,10,90,10,94,0,NotWest
360,10,113,10,90,12,NotWest
360,10,68,20,90,20,NotWest
23,10,23,20,92,16,NotWest
23,10,113,10,92,18,NotWest
45,10,113,10,92,20,NotWest
315,10,360,10,92,4,NotWest
0,0,180,10,92,0,NotWest
23,10,203,10,92,0,West
0,0,135,10,92,6,NotWest
315,10,0,0,92,6,West
270,10,180,10,92,0,West
248,20,225,10,52,8,NotWest
270,10,180,10,238,10,West
248,10,180,10,238,8,West
248,10,203,10,242,6,West
203,10,0,0,242,4,West
158,10,315,10,242,0,West
135,10,225,10,238,4,NotWest
135,10,203,10,238,0,NotWest
158,10,203,10,232,12,NotWest
180,10,225,10,228,8,NotWest
158,10,203,10,232,2,NotWest
158,10,203,10,232,4,NotWest
68,10,203,10,254,12,NotWest
90,20,225,10,234,4,NotWest
90,10,203,10,166,8,NotWest
90,10,203,10,240,0,NotWest
0,0,180,20,178,2,NotWest
0,0,203,10,216,2,NotWest
68,10,45,20,234,2,NotWest
90,10,360,30,200,2,NotWest
90,10,23,40,220,0,NotWest
113,20,360,20,216,0,NotWest
135,20,45,20,214,0,NotWest
135,10,23,20,198,0,NotWest
158,10,360,20,20,4,NotWest
158,10,360,20,78,4,NotWest
0,0,23,30,20,4,NotWest
0,0,315,20,78,22,NotWest
180,10,225,10,76,14,NotWest
180,10,158,10,58,20,NotWest
180,10,180,10,62,18,NotWest
0,0,248,10,84,28,NotWest
0,0,248,10,66,18,NotWest
0,0,248,10,80,26,NotWest
0,0,225,10,90,20,NotWest
45,10,203,10,64,14,NotWest
90,10,225,10,70,26,NotWest
113,20,225,10,88,16,NotWest
113,10,203,10,56,24,NotWest
135,10,203,10,74,16,NotWest
135,10,225,10,62,14,NotWest
158,10,180,10,64,18,NotWest
203,10,203,10,66,22,NotWest
248,10,180,10,76,26,NotWest
225,10,203,10,70,20,NotWest
225,20,0,0,84,28,NotWest
248,30,270,10,68,18,NotWest
